num of threads,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,average time
11,0.7058818999999943,0.730875999999995,0.7055931000000015,0.7178971999999959,0.7275883000000078,0.7333260999999993,0.6963742000000082,0.7499803999999983,0.7112813000000102,0.717109999999991,0.7195908500000001
12,0.6978766999999948,0.6839859000000104,0.7085964999999987,0.6826128000000011,0.7125188999999921,0.7065079000000054,0.684004299999998,0.6982994999999903,0.7124668000000014,0.7216892000000001,0.7008558499999993
13,0.7009216000000009,0.7168711000000059,0.7001336000000009,0.6964552999999967,0.7131928000000016,0.6937753000000129,0.6981740999999886,0.700985799999998,0.6881766000000056,0.7073325000000068,0.7016018700000017
14,0.7071013999999991,0.6952733999999907,0.700907799999996,0.7090967999999975,0.7041834999999992,0.7016006000000061,0.710852200000005,0.7014599999999973,0.7543518000000091,0.713758900000002,0.7098586400000002
15,0.6702812999999992,0.7013141999999988,0.6990279000000044,0.6921765000000022,0.7039242999999971,0.6852435999999926,0.6745830999999924,0.6844767000000047,0.7505871000000042,0.6788839999999965,0.6940498699999992
16,0.6975286999999923,0.689783300000002,0.6642702999999983,0.7461333999999908,0.7109456000000023,0.6830563000000041,0.6863385000000051,0.6889158999999978,0.6899976999999922,0.6959423999999927,0.6952912099999977
17,0.6984873000000107,0.6698562999999922,0.6784265999999946,0.7089026999999817,0.6930587999999887,0.6852011999999945,0.6948155999999983,0.6975200999999913,0.6811623000000111,0.6801797999999906,0.6887610699999953
18,0.6973791000000062,0.6959010999999862,0.7717664000000184,0.7532199000000048,0.655257899999981,0.6613206000000105,0.7107355999999925,0.7364201999999977,0.6867370999999878,0.7086677000000066,0.7077405599999992
19,0.6624051000000009,0.671961600000003,0.6769041999999956,0.6937130999999965,0.6650594000000183,0.6971082000000024,0.6854160999999976,0.6794750000000249,0.6686684999999954,0.6898663000000056,0.679057750000004
20,0.665287300000017,0.6843642999999986,0.6933984000000066,0.6751163000000133,0.693735700000019,0.6895917000000225,0.6720292999999913,0.6859798999999782,0.6701209999999946,0.6877578999999798,0.6817381800000021
21,0.7004533000000208,0.74054000000001,0.7479261000000008,0.7317510000000027,0.7083569000000125,0.7839520999999934,0.7612525000000119,0.6951654000000076,0.6846410999999932,0.6820749000000035,0.7236113300000057
22,0.6627475999999888,0.6915237000000047,0.6888064999999983,0.6940231000000097,0.6945908999999801,0.7185983999999905,0.667197299999998,0.691120600000005,0.6793975999999873,0.6761124999999879,0.686411819999995
23,0.6862160999999958,0.6924290000000042,0.6950219000000004,0.6849550000000022,0.6775294999999915,0.6681341000000032,0.6753551999999843,0.6816292999999973,0.6794240000000116,0.7138319000000024,0.6854525999999993
24,0.6928039000000012,0.6743931000000032,0.6796599000000185,0.663843700000001,0.6932694000000197,0.6875201000000004,0.6838115000000187,0.6778912000000048,0.6688111000000276,0.6866558000000111,0.6808659700000106
25,0.6913544999999885,0.6831564999999955,0.6788846999999976,0.6686454999999967,0.669224799999995,0.6741997999999967,0.6808583000000112,0.6670991999999956,0.633911100000006,0.7022115000000042,0.6749545899999987
26,0.7187516999999843,0.6948131999999987,0.6868232999999861,0.663003400000008,0.6616798000000017,0.6822023000000002,0.6685505000000092,0.6720700999999849,0.6773323000000175,0.691667300000006,0.6816893899999996
27,0.6703329999999994,0.6800930999999935,0.6877311999999733,0.6650002000000086,0.7075322000000028,0.6821000999999853,0.6832882000000211,0.6673995999999818,0.6554523000000074,0.6620150999999908,0.6760944999999964
28,0.6705455000000029,0.6723484000000042,0.6669105999999942,0.6902392000000077,0.6988793000000157,0.683967999999993,0.6876866000000064,0.6901770000000056,0.6728360999999836,0.683924300000001,0.6817515000000014
29,0.6882889000000034,0.7102961999999877,0.6823167000000012,0.6673773999999923,0.6686114000000032,0.6808696999999881,0.6795931999999993,0.6751533999999992,0.6843898000000195,0.6673086000000126,0.6804205300000007
30,0.6525981000000058,0.666199000000006,0.6669627999999932,0.6702444000000014,0.6891256000000112,0.6711805999999854,0.6968986000000257,0.6778321999999832,0.6682730999999933,0.6741347999999903,0.6733449199999996
31,0.6881667000000107,0.6603039999999964,0.6687831999999787,0.6782548999999847,0.6673812999999882,0.6686481000000128,0.6875837000000047,0.6612454000000128,0.6642348000000027,0.676371099999983,0.6720973199999974
32,0.6768213999999944,0.7353008999999986,0.6878929000000085,0.7230380000000025,0.674650899999989,0.6768467999999928,0.6608657999999821,0.6708934999999769,0.6926468999999997,0.6667913999999939,0.6865748499999939
33,0.6743964999999719,0.6638962000000106,0.6720258000000001,0.6810043000000121,0.6742212000000052,0.6636469000000034,0.6879915000000096,0.6740656000000058,0.6637765999999772,0.6765982999999949,0.673162289999999
34,0.6772081000000014,0.669512300000008,0.660371199999986,0.6825252000000148,0.663767699999994,0.6656289000000015,0.6700444999999888,0.671364600000004,0.6828115000000139,0.6679527000000007,0.6711186700000014
35,0.7050233999999875,0.6817430000000115,0.6744158999999854,0.6536629000000005,0.6606474999999818,0.6780936000000111,0.6440410000000156,0.6631373000000167,0.684910699999989,0.6736603999999602,0.671933569999996
36,0.6640811000000326,0.6884517000000301,0.7267787999999769,0.7119673000000262,0.6925646000000256,0.6934977000000231,0.6777888000000303,0.6900570000000243,0.6678117999999813,0.67008450000003,0.688308330000018
37,0.6620872000000304,0.6764354000000026,0.6696919999999977,0.6596079000000259,0.6596782000000303,0.6705274999999915,0.6673809000000119,0.655050899999992,0.6560321999999701,0.6548794000000271,0.663137160000008
38,0.6828385000000026,0.6835909000000129,0.6723711999999864,0.6566538999999807,0.6630704999999466,0.6666364000000158,0.6605385000000297,0.6780435000000011,0.6860075999999822,0.6692625000000021,0.671901349999996
39,0.7188361000000327,0.7137766999999826,0.6857575000000224,0.682821400000023,0.6717035000000351,0.6698468999999818,0.6837327000000073,0.6676342999999747,0.662838899999997,0.6724082999999723,0.6829356300000029
40,0.6677224000000024,0.6537630999999919,0.6589644000000021,0.6547060000000329,0.6712113999999474,0.6786498999999822,0.668581999999958,0.6786069999999995,0.6655541999999741,0.673631499999999,0.667139189999989
